Year,DistrictName,SchoolName,DistrictKey,DistrictCode,SiteCode,FullCode,DropOutRate,AP_participationIndex,AP_PerformanceIndex,GradRate,LowPerfm_Grade8,CollegeEntranceExam_Participation,CollegeEntranceExam_Performance,EOIPerformanceRate,AchievedGrowthTarget,OverallParticipation_County
2016,ABLE CHARTER ABLE LEARNING,ABLE CHARTER SCHOOL 6TH-8TH,Z005,,971,55Z005971,,0.05,,,0,,0,0,0,27
2016,ABLE CHARTER ABLE LEARNING,ABLE CHARTER SCHOOL 9TH-12TH,Z005,,972,55Z005972,,0.05,,,0,0.05,0,0,0,31
2013,Achille,Achille ES,I003,,105,,0.05,0.05,,,,,,,,408
2014,Achille,Achille ES,I003,,105,07I003105,0.05,0.08,,,,,,,,426
2015,ACHILLE,ACHILLE ES,I003,07I003,105,07I003105,0.05,0.09,,,0,,0,0,0,415
2016,ACHILLE,ACHILLE ES,I003,,105,07I003105,0.05,0.34,,,0,,0,0,0,400
2013,Achille,Achille HS,I003,,705,,,0.62,0.83,0.95,0.95,0.7,0.25,0.44,,135
2014,Achille,Achille HS,I003,,705,07I003705,,0.86,0.81,0.93,0.94,0.68,0.27,0.44,3,157
2015,ACHILLE,ACHILLE HS,I003,07I003,705,07I003705,,0.64,0.95,0.95,0.91,0.43,0.67,0.7,5,120
2016,ACHILLE,ACHILLE HS,I003,,705,07I003705,,0.72,0.95,0.91,0.89,0.77,0.41,0.45,4,136
2013,Ada,Ada Ec Ctr,I019,,105,,,,,,,,,,,
2014,Ada,Ada Ec Ctr,I019,,105,62I019105,,,,,,,,,,
2015,ADA,ADA EC CTR,I019,62I019,105,62I019105,,,,,0,,0,0,0,756
2016,ADA,ADA EC CTR,I019,,105,62I019105,,,,,0,,0,0,0,770
2013,Ada,Ada HS,I019,,705,,,0.76,0.95,0.76,0.66,0.78,0.59,0.71,,925
2014,Ada,Ada HS,I019,,705,62I019705,,0.81,0.66,0.87,0.79,0.75,0.47,0.71,4,809
2015,ADA,ADA HS,I019,62I019,705,62I019705,,0.95,0.95,0.79,0.66,0.76,0.51,0.71,2,797
