Year,CountyCode,DistrictCode,SiteCode,SchoolCode,DistrictName,SchoolName,ReportCardType,Performance_Multiplier,SchoolName,ELA_ExamCount_bq,ELA_GrowthIndex_bq,ELA_LetterGradeas_bq,Math_ExamCount_bq,Math_GrowthIndex_bq,Math_LetterGrade_bq,OverallExamCount_bq,OverallGrowthIndex_bq,OverallLetterGrade_bq,AttendenceRate,AttendenceRate_Bonus,DropOutRate,DropOutRate_Bonus,AP_participationIndex,AP_PerformanceIndex,AP_Bonus,GradRate,GradRate_Bonus,LowPerfm_Grade8,LowPerfm_Grade8_Bonus,CollegeEntranceExam_Participation,CollegeEntranceExam_Performance,CollegeEntranceExam_Bonus,EOIPerformanceRate,EOIPerformanceRate_Bonus,AchievedGrowthTarget,AchievedGrowthTarget_Bonus,OverallParticipation_County,OverallPArticipation_Rate,ELA_ExamCounty,ELA_GrowthIndex,ELA_LetterGrade,Math_ExamCounty,Math_GrowthIndex,Math_LetterGrade,Science_ExamCounty,Science_GrowthIndex,Science_LetterGrade,SocialStudies_ExamCounty,SocialStudies_GrowthIndex,SocialStudies_LetterGrade,Writing_ExamCounty,Writing_GrowthIndex,Writing_LetterGrade,Overall_ExamCounty,Overall_GrowthIndex,Overall_LetterGrade,ReportCardType,Performance_Multiplier,GrowthMultiplier,BottomGrowth_Multiplier,TotalBonusPoints,OveralSchoolGrade,OverallLetterGrade,DistrictCode,Grade_Group
2016,55,Z005,971,55Z005971,"ABLE CHARTER ABLE LEARNING","ABLE CHARTER SCHOOL 6TH-8TH",NULL,NULL,"ABLE CHARTER SCHOOL 6TH-8TH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NULL","> 0.95",6,N/A,0,"< 0.05",N/A,0,N/A,0,0.00,0,N/A,0.00,0,0.00,0,0,0,27,1.00,NULL,NULL,,NULL,NULL,,NULL,NULL,,NULL,NULL,,NULL,NULL,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016,55,Z005,972,55Z005972,"ABLE CHARTER ABLE LEARNING","ABLE CHARTER SCHOOL 9TH-12TH",NULL,NULL,"ABLE CHARTER SCHOOL 9TH-12TH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NULL",N/A,0,N/A,0,"< 0.05",N/A,0,N/A,0,0.00,0,"< 0.05",0.00,0,0.00,0,0,0,31,0.90,NULL,NULL,,NULL,NULL,,NULL,NULL,,NULL,NULL,,NULL,NULL,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,7,I003,105,07I003105,ACHILLE,"ACHILLE ES",NULL,NULL,"Achille ES",21,43,"F    ",20,35,"F    ",41,39,"F    ",0.95,6,0.05,2,0.08,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,426,0.99,124,66,D,123,72,C,42,55,F,NULL,NULL,C,NULL,NULL,NULL,332,68,D,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,7,I003,105,07I003105,ACHILLE,"ACHILLE ES","Middle School",50,"ACHILLE ES",23,61,"D    ",23,43,"F    ",46,52,"F    ","> 0.95",6,"< 0.05",2,0.09,,0,,0,0.00,0,,0.00,0,0.00,0,0,0,415,1.00,118,65,D,118,70,C,41,44,F,63,67,D,0,0,N/,340,65,D,"Middle School",50,25,25,8,72,C-,07I003,C
2016,7,I003,105,07I003105,ACHILLE,"ACHILLE ES",NULL,NULL,"ACHILLE ES",25,56,"F    ",25,68,"D    ",50,62,"D    ","> 0.95",6,"< 0.05",2,0.34,N/A,2,N/A,0,0.00,0,N/A,0.00,0,0.00,0,0,0,400,1.00,101,76,C,101,75,C,NULL,NULL,,NULL,NULL,,NULL,NULL,,202,76,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,7,I003,705,07I003705,ACHILLE,"ACHILLE HS",NULL,NULL,"Achille HS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NULL",NULL,NULL,NULL,NULL,0.86,0.81,1,0.93,5,0.94,1,0.68,0.27,0,0.44,0,3,1,157,0.97,42,76,C,64,77,C,23,43,F,19,63,D,NULL,NULL,NULL,148,70,C,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,7,I003,705,07I003705,ACHILLE,"ACHILLE HS","High School",50,"ACHILLE HS",,,,,,,,,"",,0,,0,0.64,"> 0.95",1,"> 0.95",5,0.91,1,0.43,0.67,0,0.70,0,5,1,120,1.00,46,85,B,62,84,B,23,61,D,19,74,C,0,0,N/,150,79,C,"High School",50,50,0,8,91,A-,07I003,A
2016,7,I003,705,07I003705,ACHILLE,"ACHILLE HS",NULL,NULL,"ACHILLE HS",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"NULL",N/A,0,N/A,0,0.72,"> 0.95",1,0.91,5,0.89,1,0.77,0.41,1,0.45,0,4,1,136,1.00,18,89,B,15,73,C,NULL,NULL,,NULL,NULL,,NULL,NULL,,33,82,B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2014,62,I019,105,62I019105,ADA,"ADA EC CTR",NULL,NULL,"Ada Ec Ctr",37,62,"D    ",39,64,"D    ",76,63,"D    ",0.95,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00,345,67,D,345,65,D,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,690,66,D,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,62,I019,105,62I019105,ADA,"ADA EC CTR",Elementary,50,"ADA EC CTR",39,51,"F    ",39,26,"F    ",78,38,"F    ","> 0.95",10,,0,,,0,,0,0.00,0,,0.00,0,0.00,0,0,0,756,1.00,357,71,C,357,64,D,0,0,N/,0,0,N/,0,0,N/,714,68,D,Elementary,50,25,25,10,71,C-,62I019,C
